framerate,frame,time (s),x (pixel),y (pixel,freq (Hz),theta (deg),u1 (Hz),u2 (rad),field (mT),volt multipler,correction factor,target x,target y,k,h,gamma,kP,KI,KD,kPa,KIa,KDa,v_ref (um/s),v_m (um/s),a_ref,a_m,static (V)
0.000,3.000,Inf,0.000,0.000,0.001,40.628,0.001,-0.198,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,6.860,-0.198,-0.198,5.000
0.000,4.000,Inf,0.000,0.000,0.001,40.628,0.001,0.000,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
0.000,5.000,Inf,0.000,0.000,0.001,40.628,0.001,0.000,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
0.000,6.000,Inf,0.000,0.000,0.001,40.628,0.001,0.000,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
0.000,7.000,Inf,0.000,0.000,0.001,40.628,0.001,0.000,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
0.000,8.000,Inf,0.000,0.000,0.001,40.628,0.001,0.000,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
0.000,9.000,Inf,0.000,0.000,0.001,40.628,0.001,1.737,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,4742.973,1.737,1.737,5.000
0.000,10.000,Inf,0.000,0.000,0.001,40.628,0.001,1.737,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,4742.973,1.737,1.737,5.000
0.000,11.000,Inf,0.000,0.000,0.001,40.628,0.001,1.737,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,4742.973,1.737,1.737,5.000
0.000,12.000,Inf,0.000,0.000,0.001,40.628,0.001,1.737,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,4742.973,1.737,1.737,5.000
0.000,13.000,Inf,0.000,0.000,0.001,40.628,0.001,1.737,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,4742.973,1.737,1.737,5.000
0.000,14.000,Inf,0.000,0.000,0.001,40.628,0.001,1.737,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,4742.973,1.737,1.737,5.000
0.000,15.000,Inf,0.000,0.000,0.001,40.628,0.001,-0.000,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,-0.000,-0.000,5.000
0.000,16.000,Inf,0.000,0.000,0.001,40.628,0.001,-0.000,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,-0.000,-0.000,5.000
0.000,17.000,Inf,0.000,0.000,0.001,40.628,0.001,-0.000,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,-0.000,-0.000,5.000
0.000,18.000,Inf,0.000,0.000,0.001,40.628,0.001,-0.000,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,-0.000,-0.000,5.000
0.000,19.000,Inf,0.000,0.000,0.001,40.628,0.001,-0.000,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,-0.000,-0.000,5.000
0.000,21.000,Inf,0.000,0.000,0.000,0.000,0.001,0.000,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
0.000,22.000,Inf,0.000,0.000,0.000,0.000,0.001,0.000,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
0.000,23.000,Inf,0.000,0.000,0.000,0.000,0.001,0.000,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
0.000,24.000,Inf,0.000,0.000,0.000,0.000,0.001,0.000,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
0.000,25.000,Inf,0.000,0.000,0.000,0.000,0.001,0.000,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
0.000,26.000,Inf,0.000,0.000,0.000,0.000,0.001,0.000,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
0.000,27.000,Inf,0.000,0.000,0.000,0.000,0.001,0.000,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
0.000,28.000,Inf,0.000,0.000,0.000,0.000,0.001,0.000,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
0.000,29.000,Inf,0.000,0.000,0.000,0.000,0.001,0.000,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
0.000,30.000,Inf,0.000,0.000,0.000,0.000,0.001,0.000,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
0.000,31.000,Inf,0.000,0.000,0.000,0.000,0.001,0.000,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
0.000,32.000,Inf,0.000,0.000,0.000,0.000,0.001,0.000,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
30.000,33.000,1.100,0.000,0.000,0.000,0.000,0.001,0.000,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
30.000,34.000,1.133,0.000,0.000,0.000,0.000,0.001,0.000,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
30.000,35.000,1.167,0.000,0.000,0.000,0.000,0.001,0.000,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
30.000,36.000,1.200,0.000,0.000,0.000,0.000,0.001,0.000,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
30.000,37.000,1.233,0.000,0.000,0.000,0.000,0.001,0.000,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
30.000,38.000,1.267,0.000,0.000,0.000,0.000,0.001,0.000,7.785,18.000,0.000,349.000,373.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
