framerate,frame,time (s),x (pixel),y (pixel,freq (Hz),theta (deg),u1 (Hz),u2 (rad),field (mT),volt multipler,correction factor,target x,target y,k,h,gamma,kP,KI,KD,kPa,KIa,KDa,v_ref (um/s),v_m (um/s),a_ref,a_m,static (V)
0.000,3.000,Inf,318.900,200.965,0.000,270.000,0.001,0.009,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,9.410,0.009,0.009,5.000
0.000,4.000,Inf,319.107,200.834,0.000,270.000,0.001,0.000,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
0.000,5.000,Inf,319.250,200.769,0.000,270.000,0.001,0.000,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
0.000,6.000,Inf,319.499,200.865,0.000,270.000,0.001,0.000,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
0.000,7.000,Inf,319.581,200.605,0.000,270.000,0.001,0.000,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,0.000,0.000,-0.000,5.000
0.000,8.000,Inf,319.899,200.617,0.000,270.000,0.001,0.424,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,344.143,0.424,0.424,5.000
0.000,9.000,Inf,320.002,200.593,0.000,270.000,0.001,0.424,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,344.143,0.424,0.424,5.000
0.000,10.000,Inf,319.896,200.561,0.000,270.000,0.001,0.424,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,344.143,0.424,0.424,5.000
0.000,11.000,Inf,319.928,200.318,0.000,270.000,0.001,0.424,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,344.143,0.424,0.424,5.000
0.000,12.000,Inf,319.895,200.268,0.000,270.000,0.001,0.424,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,344.143,0.424,0.424,5.000
0.000,13.000,Inf,319.998,200.178,0.000,270.000,0.001,0.424,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,344.143,0.424,0.424,5.000
0.000,14.000,Inf,319.947,200.106,0.000,270.000,0.001,0.007,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,5.731,0.007,0.007,5.000
0.000,16.000,Inf,320.399,199.906,0.000,270.000,0.001,0.007,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,5.731,0.007,0.007,5.000
0.000,17.000,Inf,320.363,199.473,0.000,270.000,0.001,0.007,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,5.731,0.007,0.007,5.000
0.000,18.000,Inf,320.271,199.380,0.000,270.000,0.001,0.007,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,5.731,0.007,0.007,5.000
0.000,19.000,Inf,320.398,199.687,0.000,270.000,0.001,0.007,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,5.731,0.007,0.007,5.000
0.000,20.000,Inf,320.605,199.807,0.000,0.000,0.001,0.008,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,6.083,0.008,0.008,5.000
0.000,21.000,Inf,320.699,199.809,0.000,0.000,0.001,0.008,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,6.083,0.008,0.008,5.000
0.000,22.000,Inf,320.908,199.725,0.000,0.000,0.001,0.008,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,6.083,0.008,0.008,5.000
0.000,23.000,Inf,320.884,199.659,0.000,0.000,0.001,0.008,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,6.083,0.008,0.008,5.000
0.000,24.000,Inf,320.873,199.484,0.000,0.000,0.001,0.008,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,6.083,0.008,0.008,5.000
0.000,25.000,Inf,321.069,199.273,0.000,0.000,0.001,0.008,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,6.083,0.008,0.008,5.000
0.000,26.000,Inf,320.967,199.025,0.000,0.000,0.001,0.010,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,7.561,0.010,0.010,5.000
0.000,27.000,Inf,321.142,198.961,0.000,0.000,0.001,0.010,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,7.561,0.010,0.010,5.000
0.000,28.000,Inf,321.194,198.980,0.000,0.000,0.001,0.010,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,7.561,0.010,0.010,5.000
0.000,29.000,Inf,321.237,198.781,0.000,0.000,0.001,0.010,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,7.561,0.010,0.010,5.000
0.000,30.000,Inf,321.675,198.896,0.000,0.000,0.001,0.010,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,7.561,0.010,0.010,5.000
0.000,31.000,Inf,321.822,198.503,0.000,0.000,0.001,0.010,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,7.561,0.010,0.010,5.000
0.000,32.000,Inf,322.089,198.410,0.000,0.000,0.001,0.014,7.785,18.000,0.000,614.000,469.000,5.000,0.000,0.000,0.000,0.100,0.000,0.000,0.900,0.000,2.000,10.342,0.014,0.014,5.000
